"supplier_id","supplier_name","total_deliveries","failed_deliveries","otif_percentage"
"SUP009","Samsung Electro-Mechanics","3","3","0.00"
"SUP041","Shenzhen Sunlord","2","2","0.00"
"SUP028","Wurth Elektronik","3","2","33.33"
"SUP046","Jiangsu Changjing","3","2","33.33"
"SUP007","Murata Manufacturing","21","13","38.10"
"SUP024","Amphenol Corporation","4","2","50.00"
"SUP029","Coilcraft Inc","4","2","50.00"
"SUP012","KEMET Corporation","4","2","50.00"
"SUP008","TDK Corporation","7","3","57.14"
"SUP017","STMicroelectronics","5","2","60.00"
"SUP025","Molex LLC","8","3","62.50"
"SUP038","Omron Electronic","3","1","66.67"
"SUP019","Microchip Technology","6","2","66.67"
"SUP016","Analog Devices","6","2","66.67"
"SUP010","Yageo Corporation","6","2","66.67"
"SUP023","TE Connectivity","8","2","75.00"
"SUP011","Vishay Intertechnology","4","1","75.00"
"SUP015","Texas Instruments","9","2","77.78"
"SUP003","Digi-Key Electronics","10","0","100.00"
"SUP033","Littelfuse Inc","6","0","100.00"
